title,actors
쇼생크 탈출,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown"
Daeboo,"Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano"
다크 나이트,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal"
The Godfather Part II,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale"
12명의 성난 사람들,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall"
반지의 제왕: 왕의 귀환,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby"
쉰들러 리스트,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall"
펄프 픽션,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth"
반지의 제왕: 반지 원정대,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard"
석양의 무법자,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli"
